A,B,C,D,E,F,G
2075-11-14,17843,90571,wqd,9889.77,brtcoqy,pgcfrq
1931-10-19,67975,82076,nnfoyrdx,-57080.11,wdhl,msqtqo
1916-10-14,50811,29165,dwceem,-334219.18,yufrdr,ievysm
1909-10-12,41301,702,zbig,-189019.40,wysely,kexdnbgc
2004-10-10,49103,13096,wywibxqc,239837.54,kwa,kvua
1989-10-29,51658,10502,tndnd,-334884.98,kybrve,vwrns
1979-10-27,95566,36273,yequyggf,-149375.99,ybxoyxv,rsekz
1975-11-16,43045,76061,sxajpuzj,-303151.58,eida,bhsvegos
2016-11-14,64374,9804,gkdhmhb,-156654.54,fvkfbtp,mfyczns
2040-11-16,2815,9513,mhfx,57195.95,yxm,snghnkb
1990-10-12,35061,65868,ilai,103149.14,fhfscyy,kudndmaq
2060-11-19,71135,62346,vmskjhfs,296429.02,uss,ckalq
2076-10-28,73741,87776,uklk,-39227.60,btrlicvs,vdc
1971-11-11,42235,28980,ecpjrir,-38767.22,vifmycx,sya
1903-11-10,61847,33497,bddeq,-50500.53,qfzbk,kuwhg
1934-11-13,19389,81230,ojd,-164356.80,cxot,zpyghbu
2052-10-26,87443,25244,ndgkal,307261.93,nwavrm,hzzt
2082-10-18,55582,84911,towzgifw,-52773.11,grvul,kpiwhnk
1935-10-23,97527,87002,eqwcbaj,334088.95,qgrxcteg,kyg
2011-11-22,55985,65835,dvmnykpr,-74871.77,vywzjk,wqmwqp
2015-10-19,8238,10300,jlnbvtty,203503.73,fszd,dizhxezj
1985-10-19,27162,9617,frzcviwi,-82094.65,tbcfog,lqtav
2033-10-28,51365,92535,beg,-268373.88,aoapwyw,bijipdx
2097-10-10,38383,51841,jjdnxj,-274779.45,ldzfieqv,kyerojzb
1934-11-16,63954,32708,kgbhbhp,-199500.30,beoe,rjroply
2013-10-23,74376,64704,wor,-71775.00,rajm,xlj
1977-10-25,17962,1603,qgwbqenw,273673.04,rcl,xwosdldf
1932-11-21,6624,15021,wrgirp,181395.40,nzzveffm,yxgwqssx
1995-10-23,32022,10541,xiprvmdc,289782.12,uyyzaell,mlo
1930-11-15,13442,4194,ypmzbg,297229.89,fwtaiu,sis
1951-11-13,47634,41063,tqvxx,278527.47,bgargolo,hvtxzn
2033-10-27,97356,28908,jymeexcc,285522.30,dkto,dhovvpda
1975-10-12,52283,80432,aozo,-286320.31,exe,dkj
2045-11-19,30450,77411,wwi,262736.99,ojwwud,inku
1918-11-14,46349,14498,zsergl,-226722.55,devqz,ppkgipj
1966-10-22,32676,96293,xwaq,160006.43,ttzy,kqpzwvc
1935-11-12,70819,31110,jvkprdz,145625.21,qofvkgwh,vznwtbuj
2026-11-18,11221,25192,fgswl,-51571.15,pumxojsp,jdi
2096-11-10,78008,28310,xvjttw,123664.99,jjvl,gnp
1926-11-19,35411,6603,vsurk,-322779.26,chsnme,bgif
1905-10-22,16261,87536,khh,-58652.26,shec,eittb
2018-10-11,4675,7247,rxdfx,98425.08,qvhqs,elm
1964-10-11,91827,77880,mjcrxik,266902.83,zqmoxv,gpj
1933-11-25,74807,46137,wbl,111552.94,oeo,zkutqyit
1929-11-22,55526,38722,yqrxk,26744.19,axowmamg,hnbqg
1947-11-21,72000,99399,kfyt,-226564.24,nki,stmivd
2045-10-12,40092,75428,rvljc,214931.49,xzldfdm,mviplq
1956-10-11,5883,2496,hvjd,136634.28,uwtbzb,yqfdvkju
1936-10-30,23277,20966,nvwzlqq,213851.47,ttngzky,fdideh
2047-10-15,36935,83638,zahmyuc,322557.31,wkqsp,skmv
1905-11-20,66244,62309,hepoz,143865.97,fuucmack,oblj
2098-10-21,50754,96053,wsqdj,229809.88,qqyvqp,ltsghom
2004-11-15,27326,81133,cpt,255393.38,lnsfsakp,xvlmac
2064-10-24,20799,5127,uqiyzu,-21856.16,ovylc,aptnru
1940-10-16,72673,40599,dzdc,-67387.42,njknb,hirlgt
2001-10-23,92232,26286,yxpmvdgf,-193047.84,qwmiphic,mqduwkn
1931-11-25,70649,73730,fuzkahe,319894.85,frlrf,jgvp
2083-11-13,18253,8539,uxwh,7914.50,kutq,yqka
1957-11-30,56640,76134,tyg,183130.24,ciprvbe,ulpzbpax
2010-11-16,40550,32439,quflvcur,-333577.23,xtekcaez,gkwlmy
2059-10-30,36537,237,qegabets,269188.74,eup,epsavxcd
1925-11-11,97265,97251,ztxrix,-80173.42,zqwfm,suq
1925-11-27,1850,46790,udcvbsk,330619.42,hvdvuom,uruewlk
2013-10-12,97468,5470,asir,-50966.33,qcfxuq,xnmwxuav
1925-10-23,18793,85982,xzp,20768.43,pbgcroec,ujj
1953-11-20,98484,42577,luzgof,-22047.71,kmomfcpw,rye
1942-10-13,38369,58448,hlwnqrj,200444.43,epvuvmji,nqbagp
1955-10-20,60971,48507,vned,302516.77,xgea,spztjm
2001-10-20,16177,91983,fvapzjgh,-343824.32,lmsef,jxlhzslr
2019-11-12,14070,2663,luvo,47801.98,gupiyjau,wkxbuauv
2098-10-19,38135,97720,bbv,-153601.77,kgoi,gcda
2069-11-24,22252,97438,vpmt,122762.66,nfmxu,ibih
2082-11-17,86203,18605,qbrho,227425.09,uylgqarc,tvdqgngu
1986-10-16,79094,34765,yaewa,321002.71,iuaohdi,lnxq
2070-11-20,50382,73088,ypnu,138333.64,lczqaew,ymwc
1905-10-24,32483,48843,ijveseuu,202301.62,aeazxcj,kqson
1953-10-15,1256,56145,riiu,-87710.44,ivvx,cwcsq
2077-11-23,56292,80252,okdgiij,-107589.16,mvjp,gyhstd
1984-11-23,65788,89506,tnf,-171052.91,xzsfnrch,grc
2053-10-21,60128,13346,keruawhx,-98347.49,ily,ncmk
1945-10-27,51631,10194,vhtltg,202010.36,bqi,zdtl
1912-11-16,32875,40877,wbcqzmat,-82477.44,inxrq,xhg
1923-11-17,51139,77917,qohj,-5265.12,vvoeiib,sedyz
1924-10-27,50452,35698,puj,135397.60,bqgbk,bexv
1926-11-13,81811,95152,azdrxzvl,279781.75,xntv,dor
1916-11-10,65901,82351,syylest,216401.22,njube,hulcjgfu
1978-10-23,39356,80083,lgzv,-61918.78,elvozx,wqxjbh
1981-11-17,760,12904,xcmpjxv,-301722.37,uub,qelwlh
2067-11-24,59292,33489,mwlxnnan,238774.63,wirerx,giyv
1978-10-17,90819,10396,uexnt,-15070.73,ktemuqw,ydezsv
2086-10-27,967,62200,oulzumd,5104.04,yobtliz,qspx
1903-10-12,44956,51477,utpbbui,16764.58,hkkbrxho,zgips
1943-10-27,1627,11899,xtxmpn,-236835.19,lwzgbq,nxgzjj
2067-11-17,68367,95458,mecpvymh,-47150.31,samq,rqin
1923-11-24,98025,8736,ysqka,-129810.50,uxz,maefluqn
2076-11-29,71580,94918,ojtfhu,132580.45,fqcvkki,jsmihoes
1980-10-29,80138,58236,qwtn,39753.57,eaotyrx,riois
2086-10-10,10181,45279,rih,-31686.86,vcdum,xceg
1935-10-22,76139,50407,hxnjlpgg,-138468.61,sltfseor,vpykk
1934-11-14,21253,48230,ribjpblg,-185.44,urfrbl,dohcrbk
1982-10-29,85447,53932,qbm,-175168.08,tdxmptr,sewgy
1916-10-18,85631,48404,rqsz,-41732.53,mpvyyh,biwgow
1911-11-20,47166,1151,vpm,-151647.05,fxi,dfj
2084-10-18,89429,73169,awr,-46781.49,jmdbh,vssb
1979-10-29,86920,18867,dgypp,309577.59,kbzwkh,ubvjvuj
2034-11-25,81055,22888,dscjoght,89129.78,wcmr,egtsw
1987-11-11,10967,14091,xkkfw,-270654.27,hqymd,putaaxko
2064-11-15,29232,65711,jbbhsl,37178.17,sscl,zqan
2032-10-11,34028,24066,pznx,-271409.16,erhaz,cid
2026-11-19,2706,42029,ufrlo,29071.89,aqwlxyzj,zgqzktu
1996-11-20,87186,40156,aocnboxy,204937.73,kil,vetq
1981-10-12,94307,77621,gpnpuzdf,89867.06,uhqdo,ptr
1953-11-25,50370,35865,ilhnnwyr,242219.06,poncnj,pmuqlno
1971-10-29,80120,48457,pbmbxu,76021.13,oucbuunh,fsrnjuf
2036-11-26,80208,80940,anxciyc,121475.66,wkcvsvpj,rwexep
2085-10-28,81493,31523,vixg,40399.76,wbuyn,axnoe
1937-10-23,91949,27227,rewa,164167.78,xbdue,cjqtiboe
2069-10-26,86161,13807,aygof,281824.48,ljoholg,ictschlf
1978-10-19,9673,65817,psvd,64965.52,thoapoft,aby
1909-11-12,11757,32468,jftygsiv,-23599.08,ihqizr,kkwvo
1946-10-10,55465,68651,rtonfn,-243798.57,lqftmjy,ekyw
1918-10-20,65114,84184,wxzofgkt,17890.92,qlpo,adot
2035-10-13,11698,23025,amxpqnio,114492.65,ntvrr,fslrre
2009-11-24,68693,9546,ytgo,-686.44,jtduf,dakl
2055-10-17,90554,48506,wewmim,-185636.34,ichhrh,lqozj
2063-11-15,85953,7172,acwmfxi,-175701.70,qvnbxl,fot
2015-10-19,20449,22630,kon,315766.70,tajfhrv,idm
2068-10-19,51679,89102,sgafny,-329416.51,pasce,spcmrac
1928-10-20,45607,73171,lqk,33612.49,nccqxwgb,tekvl
2060-11-27,39922,74243,jhuftrx,-46814.13,lfznv,ysfcz
2092-10-26,6796,79996,sfocwo,55489.22,iqwsnxbf,dasrg
2043-10-23,20848,96076,damcfxjg,-185957.43,bpa,rhlia
1930-11-11,88008,62714,zcd,-224921.50,dmhvie,bsuk
2058-10-26,11205,29176,igxyrgor,-17737.31,jdybql,lqnhw
2095-10-28,74919,93468,wgdbz,122285.36,cchdr,fphv
1962-10-28,75474,51914,gniwor,116706.47,kru,gtsktb
2008-11-11,74677,24714,xxnpj,-168215.19,ltdcrf,fzvurpiz
1911-10-30,79849,25117,pxad,11221.29,gcseh,fnvfc
1958-10-17,3449,89694,coafoql,276112.41,pebyfazx,yvputz
2000-10-20,30830,4872,rtiu,-279595.70,ncebd,slihi
1927-11-30,36669,39506,kufh,110620.25,fkfxbiv,gaimepe
2008-11-21,62969,75374,pbawemog,125460.61,dys,pjrsrh
1958-10-17,15916,94429,tfx,314201.68,cedpetgx,mbyoz
2025-11-11,9040,77237,iky,-18800.19,sodu,geumwcys
1964-11-15,43592,5412,pqnjz,10393.66,pyceab,bzofs
2064-10-26,96320,21190,zahdmao,292113.05,ujahc,pod
1936-10-19,61390,10950,exhjhvp,170776.43,ydjbhtk,tmmdeakz
1970-10-30,21137,67822,cofiew,-121295.17,ofgoqsx,urkuhv
2038-11-27,60306,88148,ogike,257795.78,uruq,lkhl
1982-10-28,63690,83326,uqg,-262573.87,ksx,cvdca
1964-11-14,59090,6070,mkh,-342822.57,klwchj,ogbgenij
2036-10-27,70594,86886,tjovaz,-53489.68,sqdcss,axksas
2027-10-11,30366,51073,vkqu,152123.01,jnzfa,ovaemgc
1946-10-20,71348,26927,tclpz,-88517.24,xvrzi,pwtstspc
2096-11-20,41611,47319,luysnax,-103374.37,oksspstu,mqaf
2039-10-30,21968,97109,nqkt,20963.37,yku,lqmtwvw
2030-11-26,5924,97132,xvqvi,-248294.98,bgcwrbq,jqjfumao
2072-11-25,85452,87823,jchnfqw,-316902.78,ytvfvqs,thzywlk
1931-10-27,10789,21636,rrea,-302550.34,gelopbl,dpgaxyr
2050-11-25,10412,30160,gnsdkf,-287436.35,kufphsij,vnzmnz
1984-11-26,24938,85666,dtauvgp,249150.47,lnzm,cacmug
1974-11-28,77724,66265,kepiqk,-305047.64,nlv,gmjnfs
2087-11-28,98202,31420,knterz,76604.99,vvu,lufai
2012-10-13,38615,74523,hicln,20878.46,ngdzdi,zkelbwg
1938-10-15,90096,91096,zmmunkgv,-9317.38,imornq,gmdtx
2051-10-13,23492,41492,recphdt,-330948.16,aso,tngrgg
1964-11-11,2196,48268,rcvbs,-237807.13,yaqht,vybjkuk
2060-11-13,5879,84832,ntteqt,28271.02,lnf,wvammq
2041-11-12,23584,94461,kgplrok,-176039.52,lwyoaaws,gxqk
2066-10-11,11486,5405,ipilld,233807.51,gdryvtab,dkkzmrvp
2039-10-25,58246,48936,ozxpep,96194.77,nzqycv,zxibv
2028-11-16,7077,74279,lqnkgiro,20890.38,dddaj,wqdnvtvp
2000-10-13,36729,6617,ociegqs,214991.92,etsbjvu,jewjw
1914-10-29,84571,1307,otuewjx,-315141.00,dme,gqv
2000-11-20,12542,31622,jgqf,291447.84,xnxhl,gdzs
1966-11-19,2724,36125,mguf,-266737.14,ikfhsxht,ohx
1933-11-24,46983,93736,ufrqiru,-169880.15,twhwu,tmlmyr
2081-10-26,39217,6323,axmnk,-76481.63,iiov,wjih
1974-10-14,56306,5105,iolmwqo,-96791.80,gkcd,npn
2093-10-12,48566,53206,znxwjoqd,148186.56,uxhwahw,lcivgk
1962-10-24,65069,79563,kgmtai,-46567.17,tsk,mqa
1970-11-28,38188,75785,ugb,150870.71,nuv,qjoepd
2051-10-11,79429,30447,xrrca,-179755.49,cpgpgp,tllalr
2083-11-29,7789,19906,yxi,-172940.32,gsiyrn,kad
2011-11-15,73581,70754,zitkaxn,-195900.48,wbpfz,ikrnlgp
2030-11-29,31152,83692,zyhmlshx,-52229.21,joego,cxntghuy
2035-11-10,6362,99998,fvmtvwlj,87887.48,mmq,ahwpf
2030-11-10,91331,30050,wmfn,91607.21,ugvrv,xouuki
2040-11-22,39375,64602,ryrxtcmb,274727.17,ybtep,pwi
1974-10-22,20673,87056,hexcirbd,245200.17,toze,tqt
2067-11-24,49951,11615,rqhzwswj,-255701.24,jym,xxi
2022-11-16,22241,83078,ofcwmlf,258254.68,upvglhf,wdpe
2008-11-14,41341,23773,nxp,10388.41,rzfemvd,iqjefq
2011-11-24,16518,99544,jvg,38446.97,ehoj,ocu
2065-10-15,96198,19133,ioerdybf,227722.37,jymley,rnq
2079-11-23,92346,35015,jpbxfpws,-114172.44,rfgjyu,olx
1992-11-12,3936,87320,jdcpzp,38157.52,rza,jmo
2071-10-23,22097,8484,atnp,134465.21,nkihhbr,qzdy
1990-10-16,18071,92305,leu,250194.12,rgbbu,qxvgryxw
2097-10-12,62286,16264,amfc,-67075.54,hxbvfr,tqq
1904-11-10,78297,57787,mkrqbs,-30054.87,sioqbpy,bzmr
2094-10-15,63965,25902,ckun,-226729.41,artkzqka,qjizlbcz
1931-11-11,76212,66566,oguwmdd,342975.15,frgcst,rzxby
1938-10-25,47653,43070,wkxchxcg,43329.86,tte,rmiedin
1930-11-21,90147,70250,xhwhxlh,-158372.93,huphy,rzkvw
1948-10-25,24497,55021,bwouc,-208389.12,tkfyyit,ups
1908-10-30,42369,42354,sgltuk,-238326.18,ubqznzky,pilupwxn
2059-10-14,39352,61708,ytckce,179429.95,hote,qttiij
1978-10-19,13997,5407,jcba,13465.49,xrdvfez,zvvvzh
1914-10-19,15944,12273,fkobf,-74763.66,mrpyxyo,hyuj
1954-10-25,57253,77623,gadponw,-33993.05,oyzsr,wqqxrxm
1930-10-10,3047,51354,wenpopfh,249639.42,wknwlmk,fcebzsbe
1936-11-20,2831,96474,qungrxg,214089.13,gwxjs,xorripb
2081-11-10,86783,37754,kdu,-168311.56,hdccam,zfwezvt
2054-11-27,93633,47836,yhwvyxq,294067.51,ottwl,uuk
1929-11-24,67320,42186,elv,-305862.57,womll,fbky
2086-10-17,39463,57579,tekhbls,-127781.24,uxl,ikcllth
1978-11-27,40602,89292,qetxnyak,-282314.18,iakwujhu,pic
2037-11-15,97590,51494,uaanj,44883.78,svcz,lwcx
2004-10-24,21421,93096,tcdwvkj,-153825.81,tzlvnyxu,dsousxns
1926-11-16,19425,25036,hdjevz,-139026.99,ewwm,dhxr
1963-10-28,22700,40813,wft,40940.36,uaxscht,ubrlacza
1986-10-24,36360,34468,eemfwb,97641.18,itfjnpgb,goclt
2001-10-21,68388,21073,yohnwas,176136.56,ndu,zsoxw
1962-10-21,94851,80405,ijle,201732.52,fnr,ovxki
1960-11-22,86934,81300,rzttc,33667.13,jrv,jvu
2086-11-20,78799,55214,ixko,-150176.50,cbbqzxap,wzk
2031-11-29,60711,39982,rdiimly,61106.86,ken,jqrxakke
2011-10-14,10899,77559,zifqpk,-296759.38,ohqyjx,zbdwkn
1961-11-10,66422,54776,waaiwgk,-2840.03,zqo,vunj
1936-10-19,87253,76684,nxspqe,140954.58,frfv,yycix
2091-11-10,98103,14819,pctm,-39911.81,pibyval,geitjhaw
2020-11-29,20396,75861,bcs,260459.80,eebxjywh,hzwzzvir
1930-10-15,31133,97290,xmlq,-18416.44,semoiq,tarc
1944-11-24,67811,12705,gzpsh,246517.23,laj,btpx
2015-11-25,65128,89078,ayl,20588.81,dufse,dusc
1989-10-10,98592,48043,vmtum,-174542.88,xwhx,ccpber
2021-10-12,87024,38788,cupb,191107.81,hpb,mekkrv
1984-11-15,7475,10910,kmup,279554.99,vov,ljs
1953-11-23,25320,62310,awzzs,156406.06,jbewkac,tybvtmjq
2051-11-29,78315,17587,ugldrss,134658.62,vhk,skg
1953-11-18,51453,95907,pipmhg,-197004.91,lquejbv,hhe
2029-10-15,54002,16118,nsdt,-206149.66,armxtzka,hqzwck
2093-11-15,39353,26266,hcw,-304390.66,mrtcwnid,nmecqxg
1980-11-14,15699,75219,hlxlwc,54208.92,lzifzuw,izhehf
1972-10-21,77785,79542,ojr,-81592.78,fcfe,hgb
1963-10-20,61899,43417,rfwt,207635.24,ejc,daok
1989-10-10,75974,25768,ysn,203188.99,jiwnj,ngysqnvi
1973-10-14,95204,90841,urxqyk,232511.03,hoeuprb,opsxi
2061-11-24,32987,86124,hawvpcf,168894.17,ccdp,tlsjqgyb
2050-10-10,52197,73168,hqjpd,187193.38,xrh,hoemkht
2076-11-25,19375,47845,ixmehfnb,-91242.43,yjj,bwwasdk
1959-10-22,79933,1330,czgfbjq,319911.00,wmtzzh,mkuci
2011-11-19,95523,37029,dziwzmhe,-250301.73,qhk,xppg
1963-10-27,78019,50238,cjmxusfy,332410.45,vpxr,wdbzsgm
2009-10-26,34060,52645,wqz,-119708.32,ebaf,axrgib
2020-11-21,95256,93614,ryomlvey,-92581.15,yyeryl,dsgzv
1934-10-28,51973,78873,kotkivg,-24016.54,ogebv,steg
1911-11-20,49161,42412,zgzxug,-201893.15,loj,mlpce
1992-11-17,63349,64058,mhmxr,107422.46,zak,ctiqew
1910-10-28,66063,26476,wcriumce,-290041.10,xhgsrm,svutqor
2025-11-30,11874,9590,coworv,236268.66,urlnepe,ashra
2000-10-22,20536,2572,tqmgtnvk,-65908.05,icwcom,odus
2034-11-29,98383,96926,erxxgqt,-294411.65,cztzdobu,bcwbooe
2094-10-18,79045,91395,ezxeupb,-267448.61,kwzbgvm,qmjub
2058-11-26,47265,91378,quzxw,-288991.07,cuicir,tigej
2033-10-22,21418,95497,laxupdmr,-116121.41,lxx,tmaqu
2036-10-18,29243,23176,fwtk,157510.63,wks,uhotps
2024-11-19,6992,13234,erlhytk,-128710.48,qqt,qbsfujv
1948-11-21,71114,96490,nksxqna,-27801.89,ejczylik,jcmxk
1971-11-11,96886,42313,fjlkkw,135539.20,uwocwk,fhxidv
2026-11-16,83483,92422,aeobk,-11113.97,fkmv,lizfbju
2015-10-13,64238,26162,culwh,315789.42,uumtdb,jpcfeyj
1900-10-25,15568,42203,vbaij,76783.49,cfe,xnptucd
2067-11-23,50227,55417,kvssr,80717.11,elii,ucsjjv
1990-11-24,34126,51926,skqczmht,-121076.51,yzfz,uwnbgv
1967-11-14,23077,25342,ashofou,320457.07,hmic,vyry
1977-11-22,9637,68439,lux,171100.87,xsjsmjie,pmylj
2057-11-14,49783,22415,wofxti,150181.44,wzzbz,xasohx
2006-10-26,60356,42092,acahpjvt,12987.76,prdeg,iqsd
2060-10-18,87763,64347,ughoi,244492.82,mbieep,iqrmgo
1926-11-15,53962,40952,rmzlcmsb,-297078.98,nqa,gpr
2044-11-27,59113,41391,nafqao,-335459.07,sbizrj,xxztjqie
1923-11-12,70284,10893,assr,-155104.13,nzmgcxv,wcezed
2060-11-25,45771,57196,sdpmabr,-225788.39,xlbtqg,ufbkurx
2067-11-26,39256,87492,vrbn,95269.45,kwtgusck,amnje
2036-11-26,89319,8417,grd,246414.03,wmewspl,xsqxgtk
1979-11-27,49132,71731,hzslfg,-247083.89,clhauicv,kajaztr
2096-11-18,54310,67454,erab,20221.09,kxq,mvzrx
1979-11-19,40921,76460,mtceiwk,323667.21,ery,wxcebbf
2053-11-23,57670,6585,idznxuc,-147881.72,hco,uug
1954-10-26,27359,45331,dcoypl,-107102.19,prbdzw,rkgpv
1963-10-22,70160,63538,iadnse,-77198.19,gpnxf,mjbpyv
2077-11-17,2036,86572,sxfmls,310815.81,pcf,rtel
2089-10-28,47608,3040,fqupbb,198651.75,wxvcp,tvdxh
2060-10-27,91933,93318,wtcpwjdh,165020.98,xaof,qtymwdqj
1929-10-16,99456,59741,dimws,239716.43,rkbsy,vyaombwp
1921-11-11,23042,80578,ndfghy,274125.77,xex,bxgthg
1913-10-15,38382,20497,gqjsvk,336959.52,ymu,ehcika
2058-10-19,62625,42217,dxkvq,-62337.40,ukoi,royannuw
1905-10-28,36497,7821,bskgyv,185543.28,nlrualz,dsxsdne
2002-11-29,28837,57541,ibgca,-146617.28,wowh,jzhkfpr
1930-10-13,47645,49326,smrykchs,320910.06,iemf,hlxbo
1954-10-12,70009,85192,oph,-24413.46,gkotdvr,nankpdx
2043-11-13,10788,87284,hulduleb,23840.45,sfgroir,hzuknhw
2081-10-25,96622,80630,fsxxk,334323.48,hozsn,fov
1909-10-14,88790,69633,kphydx,304988.42,mbjsjtbw,iyzkqb
2087-10-12,17605,65542,hmjalv,82823.09,spl,atz
2052-11-16,20072,85898,ihg,-84896.41,rwzxvt,crltg
2031-10-27,20100,79194,izoivkq,123499.30,mwlexfj,dugsw
1953-11-24,26583,44359,cut,-158780.13,nckclk,susx
1998-11-18,8638,54381,bcof,227502.57,ytbtwyzk,luowammu
1969-10-10,825,82744,ogve,-168098.31,zma,ainsvd
1958-10-22,88861,9701,iadti,67022.80,vhvgoap,ncpmjja
2079-10-14,93682,3140,skm,-12973.92,rsfcmjt,bnoeys
2000-10-19,22589,74434,omkbezg,248302.29,essmna,bvsjjdw
2094-11-16,91918,1703,krkvnnta,77338.08,uif,eiloaijb
1930-10-17,3696,21031,ckenkx,287530.65,wdjeyv,dpu
1910-10-15,30107,66271,uqgbq,343554.04,ipg,hmihral
1967-10-11,81026,66352,ejihlrf,-290858.33,spw,fuinrui
1928-10-11,51154,5833,xej,201383.31,xpkfvmw,xoz
1987-10-28,2388,75981,dppicfi,147349.38,bmicijai,gfuf
2089-10-25,4290,30869,iaruadj,285731.27,wnsjf,goiz
1925-11-12,28358,30087,yecj,118617.78,aku,rthcwnuk
2057-10-22,99958,33550,jna,226778.30,wjsogeqk,brmy
1964-10-20,86660,15389,yynz,180523.84,gsbnuor,vprce
2075-11-15,65090,50493,mxith,-324099.86,drcxjr,wmz
1966-10-17,93342,15030,uruehfp,119337.77,zfybr,lxwl
1990-10-14,38624,57107,otnpzz,-110203.22,jmcs,uoj
2052-11-24,99216,35864,becyq,-275950.44,zxxygo,uxthuowa
2083-10-15,34982,77897,rvdvgyy,228483.77,uwrdv,hie
1954-11-19,2757,66733,dgwjay,257170.71,ksjs,rdnbwy
2004-10-29,30809,25486,iekjyji,308218.09,dlonrcch,ootj
1952-11-10,76375,15596,wekqydqe,178797.77,clc,lkaevmjk
2079-11-16,11201,22734,britindv,337670.84,haqdcjsj,zqh
2013-10-18,44047,29740,rgs,-229876.34,irrrof,yvver
1970-11-21,91670,63416,nnui,160591.75,peiyk,rdinn
1978-10-20,39947,11400,spr,-35418.39,hcmyu,fthd
2037-11-25,36756,61009,pehvbi,168342.01,hcbpqbr,qpldfe
2083-11-16,8398,1730,fgvagbfd,324920.81,yotedz,kxce
1986-10-12,18769,44633,uotxz,122743.54,ccxr,lfzh
2045-10-10,97088,75015,ypkrdow,99663.39,zbla,iwh
2044-10-21,32142,51978,tznzyr,4452.99,rxyllp,kgr
2019-10-18,11082,17918,xeyjpzpy,143656.00,rlgarolv,xqkvo
1900-10-20,32083,24977,yppvlia,-35758.18,nro,cwm
1979-11-12,52301,42027,izdlry,-39596.54,bju,yubocemm
1955-10-25,40355,12008,pginyws,259100.63,cgfc,ozle
1929-10-19,51781,70555,erasc,-300541.47,kkkpyjsc,aleihhhb
2042-11-28,12613,29003,ldbqfiiy,-318774.12,tyx,aanr
2052-11-18,96660,24797,bxb,-134878.16,mflmle,biscexkn
1900-10-30,64307,54021,qtihtldi,133551.72,aujudr,epp
1947-10-26,16236,50103,xokwipxz,-234445.12,dnhtze,zyi
2036-11-11,12431,32570,sindvsd,33634.40,iefio,eyeli
1981-10-16,70371,28815,rwo,-69013.80,akkx,vktlkwqd
2077-11-11,37349,72710,nmnlt,-172515.56,cvbmtnvc,iwk
2065-11-24,41119,11292,hsexwqxw,-274629.32,oqgjfn,qlmln
1980-10-14,46932,70556,xkep,-313518.75,hap,zkddiuph
1939-11-21,94717,87818,ohie,272671.23,kgfiij,mmtwtw
2093-10-12,4575,79557,ruayrzm,61843.44,fxclqor,uurpf
1944-10-14,92861,81755,ygxag,-189530.58,rsugd,pdq
1904-10-11,90854,4380,qmq,-168481.13,lreeg,pbclvul
2040-11-19,24301,35303,mpgw,110650.24,ujpmdih,bmzrbke
1955-11-23,87827,91366,cdndyft,185205.89,yirw,odd
1923-10-10,79929,67465,miihzge,109929.76,mlggvncn,xtkmw
2011-11-15,97686,87517,ardlao,-117151.45,per,ewtamp
2014-10-23,10035,45223,aum,-340062.25,mbuao,hvpned
1999-11-23,5918,44418,vnwuj,193853.28,srk,tgadaqa
2000-11-15,44987,87529,xgjdpbx,288709.91,umzds,nixutqnc
2062-11-30,70678,38969,tvrkrhbu,-19963.08,vmu,aqlqfeq
2064-11-30,13406,49042,kbx,-180912.72,zylann,penstc
1900-11-19,42239,38608,elbkdh,-196120.28,wok,wuxppg
1923-11-30,7536,29456,bacenw,-236525.05,jfrdyc,bhy
1920-11-21,18436,85867,uwoso,151512.14,mwfegf,uhhamhz
2040-11-24,81231,58961,nocmu,-192978.62,ycyv,ehezg
1946-11-10,6889,82955,lbbsks,28832.76,stpvvjh,sjwkeg
1977-10-12,17231,58725,mlgm,115943.57,bvmd,yexf
1953-11-21,38299,95994,eqxyxky,-309650.26,vesm,cqm
1921-10-22,28176,30603,ouymk,-141641.59,pvphhfx,wxpsg
2040-11-18,68729,40604,grifysw,-4898.64,pvx,zethwztw
1960-10-18,24633,9267,nupnqb,-197848.87,tzcdmz,awlgtgvh
2005-11-22,43736,57174,ptmvpeqj,100457.51,buddsxoo,kna
1974-11-21,25715,70774,eywucche,-216764.50,mokdfhg,ndttsq
2076-11-16,35758,65172,rec,325504.76,smmzzxr,snefb
2098-11-10,52865,29371,mgsycfl,-250501.56,vts,clbcbxfh
2019-10-23,14692,58145,sroj,-7044.32,tzhtp,dvrviggt
1927-10-11,36101,49117,qbjcyb,177858.58,qaxllb,lszq
1928-10-12,41409,22387,aweykusx,-118765.06,tyv,lgt
2021-11-13,53832,36097,dpxoa,-222838.18,jqxlozv,zuip
2033-10-24,34006,47078,vgbxi,-211747.59,qyzp,xvfzqz
1981-11-25,68344,21764,tuv,157772.67,rwjvyhxj,ijlqwda
1955-10-17,43233,35578,mnazkh,-164241.65,gxwu,lukunovu
2049-11-15,4217,65534,qajz,-93871.21,gxoguszm,ilxna
2077-11-26,78558,78314,wbdxwicg,-105945.08,uuuc,rmoir
1983-10-30,67789,75352,sjmbj,-43078.78,htbxtpmx,zwfba
1911-11-18,32791,23082,kfu,-151416.25,zppy,qviqtr
1941-10-22,19507,34163,yddzlqi,-281208.11,cyp,lyb
1921-10-16,58803,67808,bjzfj,176661.75,pxeobnj,lpwehdzu
2027-10-14,61034,3456,kntxik,-164410.14,topij,zvfrvo
